Part_Number,Part_Name,Part_Type,Category,Supplier,Unit_Cost,Lead_time_weeks,Country_of_Origin,Warranty_Period_months,Stock_Status
ENG001,V6 Intercooled Diesel Model-1,Engine,Powertrain,AutoParts Co.,3300,1,South Korea,9,In Stock
ECU001,Electronic Control Hub Model-1,Steering,Electronics,HeavyDuty Supplies,3100,10,Germany,6,Out of Stock
RAD001,Radiator Model-1,Cooling,Cooling,FleetGear Ltd.,800,11,South Korea,35,Out of Stock
SUS001,Hydraulic Suspension Module Model-1,Suspension,Chassis,FleetGear Ltd.,950,6,Mexico,10,Limited Stock
TRN001,High-Torque Transmission Box Model-1,Transmission,Powertrain,HeavyDuty Supplies,4200,10,Germany,31,In Stock
ENG002,Heavy-Duty Inline-4 Engine Model-1,Engine,Powertrain,HeavyDuty Supplies,3300,12,Japan,20,Limited Stock
ECU002,Advanced Vehicle Control Module Model-1,Steering,Electronics,HeavyDuty Supplies,4000,4,Mexico,19,Limited Stock
BRK001,Dual-Circuit Air Brake Model-1,Brakes,Safety,AutoParts Co.,200,10,USA,30,Limited Stock
STG001,Steering System Model-1,Steering,Control,HeavyDuty Supplies,3100,12,Japan,16,Limited Stock
TRN002,Automated Manual Transmission Unit Model-1,Transmission,Powertrain,TruckTech Inc.,3400,9,Japan,14,Limited Stock
BAT001,Battery Model-1,Battery,Electrical,AutoParts Co.,1200,10,Japan,11,Out of Stock
ENG003,V8 Twin-Turbo Diesel Model-1,Engine,Powertrain,AutoParts Co.,4100,8,South Korea,8,In Stock
RAD002,Radiator Model-2,Cooling,Cooling,HeavyDuty Supplies,1400,9,South Korea,18,In Stock
SUS002,Heavy-Duty Shock Absorber Model-1,Suspension,Chassis,HeavyDuty Supplies,3600,5,Mexico,6,In Stock
RAD003,Radiator Model-3,Cooling,Cooling,FleetGear Ltd.,2000,5,Germany,10,Out of Stock
STG002,Steering System Model-2,Steering,Control,TruckTech Inc.,2700,4,Japan,26,In Stock
TIR001,High-Traction Drive Axle Tire Model-1,Tire,Wheels,FleetGear Ltd.,2500,3,Mexico,17,Limited Stock
ENG004,V8 Twin-Turbo Diesel Model-2,Engine,Powertrain,RoadMaster Components,1200,11,Germany,32,In Stock
ENG005,V6 Turbocharged Diesel Model-1,Engine,Powertrain,AutoParts Co.,3300,9,South Korea,17,Limited Stock
TIR002,Deep Tread Commercial Tire Model-1,Tire,Wheels,AutoParts Co.,150,8,USA,22,In Stock
RAD004,Radiator Model-4,Cooling,Cooling,HeavyDuty Supplies,3300,9,Canada,11,Limited Stock
SUS003,Heavy-Duty Shock Absorber Model-2,Suspension,Chassis,RoadMaster Components,1200,6,USA,22,In Stock
ALT001,Alternator Model-1,Alternator,Electrical,FleetGear Ltd.,300,3,USA,22,Out of Stock
RAD005,Radiator Model-5,Cooling,Cooling,RoadMaster Components,1300,12,USA,36,Limited Stock
SUS004,Trailing Arm Suspension System Model-1,Suspension,Chassis,FleetGear Ltd.,700,2,Canada,10,Out of Stock
SUS005,Electronic Suspension Control Unit Model-1,Steering,Chassis,RoadMaster Components,2000,9,Mexico,14,Limited Stock
BAT002,Battery Model-2,Battery,Electrical,TruckTech Inc.,4600,12,Japan,24,Limited Stock
BRK002,Air Disc Brake System Model-1,Brakes,Safety,AutoParts Co.,2400,12,Germany,19,In Stock
ECU003,Fleet Monitoring ECU Model-1,ECU,Electronics,AutoParts Co.,650,1,USA,30,Limited Stock
